,,Posición,Tipo de salida,Marca temporal,Team,Fecha,Comentarios generales,Horario de intervención,M101 - SN del módulo,M101 - Ángulo (RA),M102 - SN del módulo,M102 - Ángulo (RA),M103 - SN del módulo,M103 - Ángulo (RA),SN Panel Solar,SN Regulador,SN Batería 1,SN Batería 2,Comentarios (Deployment Cañerias),SN Battery Box,Instalación de térmica,M101 - SN del ekit,M102 - SN del ekit,M103 - SN del ekit,SN Distribuidora,Cableado de Superficie,Descripción de la tarea,M101 - Ekit viejo,M101 - Ekit nuevo,M102 - Ekit viejo,M103 - Ekit viejo,M102 - Ekit nuevo,M103 - Ekit nuevo,Distribuidora vieja,Distribuidora nueva,Regulador viejo,Regulador nuevo,Panel Solar viejo,Panel Solar nuevo,Se apagó UUB? ,Otros comentarios,Mikrotik vieja,Mikrotik nueva,,M101 instalado por:,M102 instalado por:,M103 instalado por:,Cableado Subterraneo,Maleza,Erosión,Acceso,Reporta,Se colocó cable de tierra entre BBox de AMIGA y SD?,Fotos (Opcional),Comentarios (Deployment Módulos),Comentarios (Deployment Potencia),Comentarios (Deployment Ekits),Comentarios (Cableado Superficie),Comentarios (Cableado Subterraneo),Fotos (Opcional),Fotos (Opcional),Añadir fotos:
Salida a Campo AMIGA - 28-06-2023,"# PLANCK (id=1774) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 13:15
### Comentarios generales: Clima,: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,30m 8,3°Negro 55°Rojo
M102: 5,90°m. 2°Negro.  15°Rojo 
M103: 7,40m.  2°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey
",PLANCK (id=1774),Mantenimiento general,28/06/2023 15:55:21,"Gabriel Morales, Luciana Torres",28/06/2023,"Clima,: nublado ",13:15:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,30m 8,3°Negro 55°Rojo
M102: 5,90°m. 2°Negro.  15°Rojo 
M103: 7,40m.  2°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# ESPERANZA (id=1625) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 13:30
### Comentarios generales: Clima: nublado
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 9,30m 30°Negro 170°Rojo
M102: 8,90°m. 28,3°Negro.  165°Rojo 
M103: 10,40m.  4,2°Negro. 135°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No
•Tubos: Okey
",ESPERANZA (id=1625),Mantenimiento general,28/06/2023 15:57:01,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado,13:30:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 9,30m 30°Negro 170°Rojo
M102: 8,90°m. 28,3°Negro.  165°Rojo 
M103: 10,40m.  4,2°Negro. 135°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# LOCOS (id=1627) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 13:50
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,55m 8,3°Negro 55°Rojo
M102: 6,20°m. 3°Negro.  20°Rojo 
M103: 7,55m.  2,2°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No
•Tubos: Okey
",LOCOS (id=1627),Mantenimiento general,28/06/2023 15:58:36,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,13:50:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,55m 8,3°Negro 55°Rojo
M102: 6,20°m. 3°Negro.  20°Rojo 
M103: 7,55m.  2,2°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# KATHY TURNER (id=1764) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 10:15
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Distribuidora vieja: BB 1 (Sn 0061) BB2 (Sn 0059) --> Nuevo: BB 1 (Sn 0064)  BB 2 (Sn0065)
   - Descripción de la tarea: Chequeo de cables T1, todo andando bien.
Cambio de distribuidora en BB1 ( se retiró sn 0061 y se coloco SN 0064).
Cambio de distribuidora BB2 (se retiro sn 0059 y se coloco sn 0065).
",KATHY TURNER (id=1764),Mantenimiento general,30/06/2023 15:29:52,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,10:15:00,,,,,,,,,,,,,,,,,,,"Chequeo de cables T1, todo andando bien.
Cambio de distribuidora en BB1 ( se retiró sn 0061 y se coloco SN 0064).
Cambio de distribuidora BB2 (se retiro sn 0059 y se coloco sn 0065).",,,,,,,BB 1 (Sn 0061) BB2 (Sn 0059),BB 1 (Sn 0064)  BB 2 (Sn0065),,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# ESPERANZA (id=1625) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 11:50
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se realizo nuevamente medición de ángulos y módulos.
M-101: 9,30 m 24° negro 135° rojo
M-102: 8,95 m 30° negro 165° rojo
M-103: 10,35 m 30° negro 170° rojo
",ESPERANZA (id=1625),Mantenimiento general,30/06/2023 15:36:34,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,11:50:00,,,,,,,,,,,,,,,,,,,"Se realizo nuevamente medición de ángulos y módulos.
M-101: 9,30 m 24° negro 135° rojo
M-102: 8,95 m 30° negro 165° rojo
M-103: 10,35 m 30° negro 170° rojo",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# CASA RONAL (id=1777) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 12:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posicion.
Realizar deployment de cable mallado 
",CASA RONAL (id=1777),Mantenimiento general,30/06/2023 15:40:18,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,12:00:00,,,,,,,,,,,,,,,,,,,"Relevamiento de posicion.
Realizar deployment de cable mallado ",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# PEA (id=698) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 12:05
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posición: ok 
",PEA (id=698),Mantenimiento general,30/06/2023 15:41:43,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,12:05:00,,,,,,,,,,,,,,,,,,,Relevamiento de posición: ok ,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# CORREO ARG (id=1767) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 12:20
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
Cambio de cables de módulos, Poe y T1.
",CORREO ARG (id=1767),Mantenimiento general,30/06/2023 15:43:49,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,12:20:00,,,,,,,,,,,,,,,,,,,"Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
Cambio de cables de módulos, Poe y T1.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# E.T. (id=1770) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 12:50
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
Cambio de cables de módulos, Poe y T1.
",E.T. (id=1770),Mantenimiento general,30/06/2023 15:45:19,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,12:50:00,,,,,,,,,,,,,,,,,,,"Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
Cambio de cables de módulos, Poe y T1.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# FRANQUITO (id=1776) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 13:10
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posición: ok 
Cambio de cables de módulos, Poe y T1.
",FRANQUITO (id=1776),Mantenimiento general,30/06/2023 15:46:54,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,13:10:00,,,,,,,,,,,,,,,,,,,"Relevamiento de posición: ok 
Cambio de cables de módulos, Poe y T1.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# MORA (id=1769) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 13:25
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
",MORA (id=1769),Mantenimiento general,30/06/2023 15:48:02,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,13:25:00,,,,,,,,,,,,,,,,,,,"Relevamiento de posición: ok 
Realizar deploymen de cable mallado.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-06-2023,"# TORIBIO (id=669) - vie 30/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Nicolas Sepúlveda
### Reporta: Gabriel Morales
### Hora: 14:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
Se encontró cable poe sin conectar en distribuidora. 
Consultar el motivo y ver si se puede volver a conectar.
",TORIBIO (id=669),Mantenimiento general,30/06/2023 15:50:44,"Gabriel Morales, Nicolas Sepúlveda",30/06/2023,,14:00:00,,,,,,,,,,,,,,,,,,,"Relevamiento de posición: ok 
Realizar deploymen de cable mallado.
Se encontró cable poe sin conectar en distribuidora. 
Consultar el motivo y ver si se puede volver a conectar.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# TORIBIO (id=669) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Agustin Morales
### Hora: 10:20
### Comentarios generales: Viento fuerte.
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se chequeo cable Poe y se conecto en distribuidora que estaba sin conectar.
Se realizó chequeo general, condiciones de Batery Box, Potencia, y Módulos. Estado Okey
",TORIBIO (id=669),Mantenimiento general,4/07/2023 15:03:45,"Agustin Morales, Maximiliano Maciel",4/07/2023,Viento fuerte.,10:20:00,,,,,,,,,,,,,,,,,,,"Se chequeo cable Poe y se conecto en distribuidora que estaba sin conectar.
Se realizó chequeo general, condiciones de Batery Box, Potencia, y Módulos. Estado Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Agustin Morales,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# OYE (id=710) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Maximiliano Maciel
### Hora: 10:42
### Comentarios generales: Viento Fuerte
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medición de ángulos y distancia en Oye.
M101: Rojo SE  140°     Negro SE 25°      Distancia: 21,30 m
M102: Rojo SE 155°      Negro SE 28°      Distancia: 22,30 m
M103: Rojo SE 150°      Negro SE 26°      Distancia 20,20 m
M104: Rojo SE 158°      Negro SE 28°      Distancia 20,7 m
",OYE (id=710),Mantenimiento general,4/07/2023 15:12:30,"Agustin Morales, Maximiliano Maciel",4/07/2023,Viento Fuerte,10:42:00,,,,,,,,,,,,,,,,,,,"Medición de ángulos y distancia en Oye.
M101: Rojo SE  140°     Negro SE 25°      Distancia: 21,30 m
M102: Rojo SE 155°      Negro SE 28°      Distancia: 22,30 m
M103: Rojo SE 150°      Negro SE 26°      Distancia 20,20 m
M104: Rojo SE 158°      Negro SE 28°      Distancia 20,7 m",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Maximiliano Maciel,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# MELA (id=701) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Agustin Morales
### Hora: 11:40
### Comentarios generales: Viento Fuerte
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Mantenimiento general.
Chequeo de:
Potencia: OK
Camaras: OK
Mallados: NO
Tubos: Estan bien, no hay cables rotos y no tienen revestimiento.
",MELA (id=701),Mantenimiento general,4/07/2023 15:15:37,"Agustin Morales, Maximiliano Maciel",4/07/2023,Viento Fuerte,11:40:00,,,,,,,,,,,,,,,,,,,"Mantenimiento general.
Chequeo de:
Potencia: OK
Camaras: OK
Mallados: NO
Tubos: Estan bien, no hay cables rotos y no tienen revestimiento.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Agustin Morales,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# WIWI (id=1762) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Maximiliano Maciel
### Hora: 12:27
### Comentarios generales: Viento fuerte
### Se apagó UUB?: No 
- Maleza: Intermedio
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI
Mallados: No
Tubos: Okey, sin daños en los cables pero falta colocar recubrimiento
",WIWI (id=1762),Mantenimiento general,4/07/2023 15:18:37,"Agustin Morales, Maximiliano Maciel",4/07/2023,Viento fuerte,12:27:00,,,,,,,,,,,,,,,,,,,"Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI
Mallados: No
Tubos: Okey, sin daños en los cables pero falta colocar recubrimiento",,,,,,,,,,,,,No,,,,,,,,,Intermedio,Sin erosión,Fácil,Maximiliano Maciel,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# LUISA (id=702) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Agustin Morales
### Hora: 12:56
### Comentarios generales: viento fuerte
### Se apagó UUB?: No 
- Maleza: Intermedio
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI
Mallados: Si
Tubos: Okey, sin daños en los cables pero falta colocar recubrimiento
",LUISA (id=702),Mantenimiento general,4/07/2023 15:21:41,"Agustin Morales, Maximiliano Maciel",4/07/2023,viento fuerte,12:56:00,,,,,,,,,,,,,,,,,,,"Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI
Mallados: Si
Tubos: Okey, sin daños en los cables pero falta colocar recubrimiento",,,,,,,,,,,,,No,,,,,,,,,Intermedio,Sin erosión,Fácil,Agustin Morales,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# NORBERTO W (id=1761) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Maximiliano Maciel
### Hora: 13:10
### Comentarios generales: viento fuerte
### Se apagó UUB?: No 
- Maleza: Intermedio
- Erosión: Sin erosión
- Acceso: Intermedio
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI (en el M103 esta la tapa rota)
Mallados: No
Tubos: Okey, sin daños en los cables, cables recubiertos por cinta ductape 
OBSERVACIONES: se ve expuesta cañeria de pvc correspondiente al cableado de Módulos.
",NORBERTO W (id=1761),Mantenimiento general,4/07/2023 15:25:04,"Agustin Morales, Maximiliano Maciel",4/07/2023,viento fuerte,13:10:00,,,,,,,,,,,,,,,,,,,"Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI (en el M103 esta la tapa rota)
Mallados: No
Tubos: Okey, sin daños en los cables, cables recubiertos por cinta ductape 
OBSERVACIONES: se ve expuesta cañeria de pvc correspondiente al cableado de Módulos.",,,,,,,,,,,,,No,,,,,,,,,Intermedio,Sin erosión,Intermedio,Maximiliano Maciel,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# COMENIUS (id=1760) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Maximiliano Maciel
### Hora: 13:32
### Comentarios generales: viento fuerte
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI
Mallados: No
Tubos: Okey, sin daños en los cables pero falta colocar recubrimiento
",COMENIUS (id=1760),Mantenimiento general,4/07/2023 15:26:39,"Agustin Morales, Maximiliano Maciel",4/07/2023,viento fuerte,13:32:00,,,,,,,,,,,,,,,,,,,"Mantenimiento General.
Se chequeo:
Potencia: okey
Cámaras: SI
Mallados: No
Tubos: Okey, sin daños en los cables pero falta colocar recubrimiento",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Maximiliano Maciel,,,,,,,,,,
Salida a Campo AMIGA - 04-07-2023,"# KATHY TURNER (id=1764) - mar 04/07/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Maximiliano Maciel
### Reporta: Maximiliano Maciel
### Hora: 12:42
### Comentarios generales: fuerte viento
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se bajo térmica y se desconectaron cables SERIAL de ambos Batery Box, Se levanto térmica.
",KATHY TURNER (id=1764),Mantenimiento general,4/07/2023 15:29:12,"Agustin Morales, Maximiliano Maciel",4/07/2023,fuerte viento,12:42:00,,,,,,,,,,,,,,,,,,,"Se bajo térmica y se desconectaron cables SERIAL de ambos Batery Box, Se levanto térmica.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Maximiliano Maciel,,,,,,,,,,
Salida a Campo AMIGA - 06-07-2023,"# FRANQUITO (id=1776) - jue 06/07/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales
### Reporta: Gustavo Rios
### Hora: 10:40
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Cables de módulos Poe y T1 rotos. Cambio de cables Poe y T1 en M101, M102 y M103.
Se colocó y probó recubrimiento de roedores, no hubo problema. Y no es difícil de colocar. 
Se retiraron Ekits, se realizó limpieza por suciedad. Se volvieron a colocar.
",FRANQUITO (id=1776),Mantenimiento general,6/07/2023 15:26:12,"Gustavo Rios, Gabriel Morales",6/07/2023,,10:40:00,,,,,,,,,,,,,,,,,,,"Cables de módulos Poe y T1 rotos. Cambio de cables Poe y T1 en M101, M102 y M103.
Se colocó y probó recubrimiento de roedores, no hubo problema. Y no es difícil de colocar. 
Se retiraron Ekits, se realizó limpieza por suciedad. Se volvieron a colocar.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gustavo Rios,,,,,,,,,,
Salida a Campo AMIGA - 18-07-2023,"# E.T. (id=1770) - mar 18/07/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Agustin Morales
### Reporta: Agustin Morales
### Hora: 10:15
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se bajo termina 10:15, se realizo chequeo de cables de módulos, detectamos varias mordidas en los cables, se cambiaron los cables de los 3 módulos 101, 102 y 103, para eso se levantaron ekits y se limpiaron, los colocamos nuevamente con los cables nuevos, se bajaron nuevamente, radio prendió 13:55 
",E.T. (id=1770),Mantenimiento general,18/07/2023 15:52:28,"Gustavo Rios, Agustin Morales",18/07/2023,,10:15:00,,,,,,,,,,,,,,,,,,,"Se bajo termina 10:15, se realizo chequeo de cables de módulos, detectamos varias mordidas en los cables, se cambiaron los cables de los 3 módulos 101, 102 y 103, para eso se levantaron ekits y se limpiaron, los colocamos nuevamente con los cables nuevos, se bajaron nuevamente, radio prendió 13:55 ",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Agustin Morales,,,,,,,,,,
Salida a Campo AMIGA - 19-07-2023,"# CORREO ARG (id=1767) - mié 19/07/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Maximiliano Maciel
### Reporta: Gabriel Morales
### Hora: 09:58
### Comentarios generales: Se encontraron en tubo de acceso morcetos muy oxidados
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se realizo cambio de cableado de módulos, como así también relevamiento general de la posición 
",CORREO ARG (id=1767),Mantenimiento general,19/07/2023 15:23:15,"Gabriel Morales, Maximiliano Maciel",19/07/2023,Se encontraron en tubo de acceso morcetos muy oxidados,9:58:00,,,,,,,,,,,,,,,,,,,"Se realizo cambio de cableado de módulos, como así también relevamiento general de la posición ",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 19-07-2023,"# LETY JR (id=97) - mié 19/07/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Maximiliano Maciel
### Reporta: Gabriel Morales
### Hora: 13:44
### Comentarios generales: Comenzaron a haber fuertes rafagas de viento
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Leve
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se realizó relevamiento general de posición (potencia, cableados y batery box)
",LETY JR (id=97),Mantenimiento general,19/07/2023 15:26:22,"Gabriel Morales, Maximiliano Maciel",19/07/2023,Comenzaron a haber fuertes rafagas de viento,13:44:00,,,,,,,,,,,,,,,,,,,"Se realizó relevamiento general de posición (potencia, cableados y batery box)",,,,,,,,,,,,,No,,,,,,,,,Leve,Leve,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 19-07-2023,"# CATHERINA (id=12) - mié 19/07/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Maximiliano Maciel
### Reporta: Maximiliano Maciel
### Hora: 13:54
### Comentarios generales: Fuertes rafagas de viento
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se realizo relevamiento general y a su vez se colocaron abrazaderas en cable de panel
",CATHERINA (id=12),Mantenimiento general,19/07/2023 15:29:18,"Gabriel Morales, Maximiliano Maciel",19/07/2023,Fuertes rafagas de viento,13:54:00,,,,,,,,,,,,,,,,,,,Se realizo relevamiento general y a su vez se colocaron abrazaderas en cable de panel,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Maximiliano Maciel,,,,,,,,,,
